,region,province,zip_code,property_type,property_subtype,price,number_rooms,living_area,kitchen,furnished,fireplace,terrace,terrace_area,garden,garden_area,surface_land,number_facades,swimming_pool,building_state
7003,Flanders,East Flanders,9230,APARTMENT,APARTMENT,335000.0,1.0,91.0,NOT_INSTALLED,0,0,1,26.0,1,0.0,0.0,1.0,0,0
7004,Flanders,East Flanders,9230,APARTMENT,APARTMENT,370000.0,2.0,103.0,NOT_INSTALLED,0,0,1,13.0,1,0.0,0.0,1.0,0,0
7005,Flanders,East Flanders,9230,APARTMENT,APARTMENT,315000.0,1.0,99.0,NOT_INSTALLED,0,0,1,17.0,1,62.0,0.0,1.0,0,0
7006,Flanders,East Flanders,9230,APARTMENT,APARTMENT,265000.0,1.0,88.0,NOT_INSTALLED,0,0,1,33.0,1,0.0,0.0,1.0,0,0
7007,Flanders,West Flanders,8620,APARTMENT,FLAT_STUDIO,160000.0,0.0,43.0,INSTALLED,1,0,1,0.0,1,0.0,0.0,1.0,0,AS_NEW
7009,Flanders,East Flanders,9400,APARTMENT,APARTMENT,415000.0,3.0,191.0,INSTALLED,0,0,1,0.0,0,0.0,0.0,1.0,0,AS_NEW
7012,Flanders,Antwerp,2235,APARTMENT,APARTMENT,259000.0,2.0,66.0,INSTALLED,0,0,1,37.0,1,0.0,0.0,1.0,0,GOOD
7013,Flanders,Antwerp,2850,APARTMENT,APARTMENT,99000.0,1.0,40.0,NOT_INSTALLED,0,0,1,2.0,1,0.0,0.0,1.0,0,AS_NEW
7014,Flanders,Antwerp,2850,APARTMENT,APARTMENT,225000.0,2.0,81.0,NOT_INSTALLED,0,0,1,10.0,1,0.0,0.0,1.0,0,AS_NEW
7015,Flanders,West Flanders,8670,APARTMENT,FLAT_STUDIO,149000.0,0.0,30.0,NOT_INSTALLED,1,0,0,0.0,0,0.0,0.0,1.0,0,AS_NEW
7016,Flanders,West Flanders,8670,HOUSE,BUNGALOW,209000.0,2.0,59.0,NOT_INSTALLED,0,0,1,0.0,0,0.0,87.0,1.0,0,0
7017,Flanders,East Flanders,9700,HOUSE,HOUSE,235000.0,3.0,173.0,NOT_INSTALLED,0,0,1,0.0,1,0.0,250.0,2.0,0,0
